doctor_id,name,specialty_group,years_experience,price,rating,active_status,language,video_available
D-1076,Dr. Javier Nair,ENT,21,85,4.8,true,French,true
D-1077,Dr. Ethan King,ENT,28,30,4.3,true,Korean,true
D-1078,Dr. Priya Rao,ENT,16,95,4.5,true,English,true
D-1079,Dr. Maya Chen,ENT,16,40,4.7,true,Spanish,true
D-1080,Dr. Helen Moore,ENT,17,60,4.8,true,Mandarin,true
D-1081,Dr. Chloe Singh,Gastroenterology,17,45,4.8,true,Hindi,false
D-1082,Dr. Omar Okafor,Gastroenterology,18,45,4.4,true,Arabic,true
D-1083,Dr. Mei Allen,Gastroenterology,3,70,4.9,false,French,true
D-1084,Dr. Liam Moore,Gastroenterology,23,85,4.5,true,Korean,true
D-1085,Dr. Liam Johnson,Gastroenterology,24,75,4.4,true,English,true
D-1086,Dr. Sarah Garcia,Gastroenterology,14,85,4.5,true,Spanish,true
D-1087,Dr. Omar Bennett,Gastroenterology,26,70,5.0,true,Mandarin,true
D-1088,Dr. Mei Scott,Gastroenterology,27,70,4.6,true,Hindi,true
D-1089,Dr. Isabella Johnson,Gastroenterology,3,85,4.5,true,Arabic,true
D-1090,Dr. Fatima Clark,Gastroenterology,6,95,4.0,true,French,true
D-1091,Dr. Arjun Patel,Gastroenterology,18,35,4.8,true,Korean,true
D-1092,Dr. Arjun Chen,Gastroenterology,7,90,4.6,true,English,true
D-1093,Dr. Yara Green,Gastroenterology,22,90,4.6,true,Spanish,true
D-1094,Dr. Nina Scott,Gastroenterology,16,50,4.6,false,Mandarin,true
D-1095,Dr. Kai Patel,Gastroenterology,24,35,4.2,true,Hindi,false
D-1096,Dr. Noah Green,Gastroenterology,18,50,4.0,true,Arabic,true
D-1097,Dr. Camila Miller,Pain/Headache,11,90,4.8,true,French,false
D-1098,Dr. Leila Chen,Pain/Headache,11,95,4.1,false,Korean,true
D-1099,Dr. Nathan Coleman,Pain/Headache,17,35,4.5,true,English,true
D-1100,Dr. Ibrahim Anderson,Pain/Headache,5,75,4.0,true,Spanish,true
D-1101,Dr. Chloe Miller,Pain/Headache,24,95,4.9,true,Mandarin,true
D-1102,Dr. Mei King,Pain/Headache,4,90,4.8,true,Hindi,true
D-1103,Dr. Riya Lopez,Pain/Headache,23,95,4.5,false,Arabic,true
D-1104,Dr. Daniel Price,Pain/Headache,13,60,4.7,true,French,true
D-1105,Dr. Anika Thomas,Pain/Headache,5,55,4.3,false,Korean,true
D-1106,Dr. Aarav Young,Pain/Headache,17,60,4.1,true,English,true
D-1107,Dr. Arjun Haddad,Pain/Headache,11,70,4.1,true,Spanish,false
D-1108,Dr. Andre Flores,Pain/Headache,25,40,4.3,false,Mandarin,true
D-1109,Dr. Ethan Thomas,Pain/Headache,6,80,4.8,true,Hindi,true
D-1110,Dr. Yara Moore,Pain/Headache,18,45,4.5,true,Arabic,true
D-1111,Dr. Fatima Nair,Pain/Headache,11,90,4.8,true,French,false
D-1112,Dr. Nina Scott,Pain/Headache,21,80,4.5,true,Korean,true
D-1113,Dr. Helen Davis,Medication Refill,17,55,4.9,true,English,true
D-1114,Dr. Yara Martinez,Medication Refill,13,85,4.5,true,Spanish,true
D-1115,Dr. Grace Clark,Medication Refill,4,40,4.5,true,Mandarin,true
D-1116,Dr. Daniel Walker,Medication Refill,17,30,4.7,true,Hindi,true
D-1117,Dr. Marcus Garcia,Medication Refill,22,85,4.4,false,Arabic,true
D-1118,Dr. Helen Davis,Medication Refill,13,80,4.7,true,French,false
D-1119,Dr. Nadia Miller,Medication Refill,26,35,4.4,false,Korean,false
D-1120,Dr. Nina Hill,Medication Refill,4,55,4.8,true,English,false
D-1121,Dr. Amara Khan,Medication Refill,21,80,4.8,true,Spanish,true
D-1122,Dr. Samira Flores,Medication Refill,18,75,4.1,true,Mandarin,true
D-1123,Dr. Aarav Thomas,Medication Refill,12,80,4.5,false,Hindi,true
D-1124,Dr. Zara Patel,Medication Refill,17,95,4.3,true,Arabic,true
D-1125,Dr. Nathan Ahmed,Medication Refill,21,50,5.0,true,French,false
D-1126,Dr. Arjun Green,Medication Refill,26,65,4.8,true,Korean,true
D-1127,Dr. Leila Wu,Medication Refill,22,50,4.7,true,English,false
D-1128,Dr. Anika Johnson,Medication Refill,28,65,4.0,true,Spanish,true
